y,m,d,Prec,Ep,Tavg,Tmax,Runoff
1981,1,1,7.21,0,-3.5,0,1.0502
1981,1,2,15.47,0,-2.1,-0.5,1.0312
1981,1,3,14.18,0.05,1.9,4.1,2.1829
1981,1,4,36.08,0.08,0.5,3.5,8.9265
1981,1,5,13.72,0.49,-3.5,-2.6,4.932
1981,1,6,21.26,0.16,-3.8,-2.3,2.8194
1981,1,7,9.64,0.14,-6.5,-5,2.2107
1981,1,8,1.63,0.13,-9.2,-6.8,1.7993
1981,1,9,0,0.09,-11.5,-4.7,1.5998
1981,1,10,0.64,0,-8.4,-2.9,1.4136
1981,1,11,0.22,0,-5.7,-2.4,1.2219
1981,1,12,0.19,0.06,-7.8,-1.2,1.1182
1981,1,13,8.05,0,-5.6,-3.8,1.1115
1981,1,14,0.69,0.15,-6.2,-3.7,0.9967
1981,1,15,22.52,0.02,-2.7,-1.1,1.7971
1981,1,16,6.16,0.21,-5.1,-3.6,1.6154
1981,1,17,11.22,0.07,-1.9,1.3,1.3913
1981,1,18,10.81,0,-2.2,-0.7,1.6678
1981,1,19,12.94,0.06,-1.3,0.6,1.8618
1981,1,20,15.81,0.12,-2.1,-0.6,2.8518
1981,1,21,3.28,0.33,-4.7,-2.5,2.1093
1981,1,22,0,0.11,-8.3,-2.4,1.6656
1981,1,23,0,0.08,-11,-3.1,1.4493
1981,1,24,0,0.05,-10.5,-2.1,1.2174
1981,1,25,0.86,0.07,-8.9,-2.1,1.0669
1981,1,26,6.81,0,-3.4,-0.6,1.1093
1981,1,27,0,0.1,-5.1,-0.7,1.0379
1981,1,28,0,0.11,-7.5,-1.9,0.9275
1981,1,29,0,0.06,-9.3,-1.9,0.951
1981,1,30,0,0.07,-10.6,-1.1,0.893
1981,1,31,0,0.07,-9.2,0.5,0.718
1981,2,1,0,0.06,-6.9,2.6,0.6533
1981,2,2,0,0.06,-5.7,3.9,0.689
1981,2,3,3.36,0.05,-3.9,3,0.7503
1981,2,4,25.35,0,-0.4,1.6,1.5931
1981,2,5,13.34,0.15,-2.8,-1.3,1.4214
1981,2,6,11.51,0.05,-1.5,0.2,1.2687
1981,2,7,7.68,0,1.5,2.8,4.6611
1981,2,8,0.23,0.05,3.1,7.3,7.6411
1981,2,9,0,0.16,1.4,8,5.8039
1981,2,10,6.31,0.05,-0.2,2.8,4.2152
1981,2,11,3.17,0.35,-2.3,-0.5,3.2631
1981,2,12,1.12,0.37,-4.6,-2.6,2.6489
1981,2,13,0,0.32,-6.9,-2.7,2.0703
1981,2,14,0,0.2,-8.6,-2.4,1.6611
1981,2,15,0,0.21,-7.9,0.3,1.3657
1981,2,16,0,0.17,-7.3,-0.8,1.3133
1981,2,17,0.23,0.07,-6.9,-2.4,1.2564
1981,2,18,0.73,0.14,-5.4,-2.3,1.1985
1981,2,19,0.6,0.16,-5.5,-2.1,1.0903
1981,2,20,0.3,0.18,-5.1,-2.3,0.9933
