y,m,d,Rainfall,Snowfall,SNO,SNOmlt,Tsnow,Pn,Ps,Pr,En,Es,S,R,Q1,Q9,Qr,Qd,Qsim,Qobs
1981,1,1,0.000,7.210,12.210,0.000,-3.500,0.000,0.000,0.002,0.000,0.000,130.183,6.830,0.000,0.001,0.000,0.000,0.000,1.05
1981,1,2,15.470,0.000,12.210,0.000,-2.100,15.470,12.133,3.340,0.000,0.000,142.313,8.914,0.116,2.086,0.001,0.115,0.115,1.03
1981,1,3,14.180,0.000,8.693,3.467,1.900,17.647,13.485,4.166,0.000,0.000,155.793,12.429,0.356,3.522,0.003,0.353,0.356,2.18
1981,1,4,36.080,0.000,6.055,2.558,0.500,38.638,28.016,10.634,0.000,0.000,183.798,20.169,0.639,7.788,0.039,0.629,0.668,8.93
1981,1,5,0.000,13.720,19.285,0.000,-3.500,0.000,0.000,0.011,0.000,0.000,183.786,22.978,0.682,2.938,0.074,0.628,0.702,4.93
1981,1,6,0.000,21.260,40.385,0.000,-3.800,0.000,0.000,0.011,0.000,0.000,183.775,22.830,0.022,0.010,0.072,0.000,0.072,2.82
1981,1,7,0.000,9.640,49.885,0.000,-6.500,0.000,0.000,0.011,0.000,0.000,183.764,22.686,0.001,0.010,0.070,0.000,0.070,2.21
1981,1,8,0.000,1.630,51.385,0.000,-9.200,0.000,0.000,0.011,0.000,0.000,183.752,22.546,0.001,0.010,0.067,0.000,0.067,1.80
1981,1,9,0.000,0.000,51.295,0.000,-11.500,0.000,0.000,0.011,0.000,0.000,183.741,22.410,0.001,0.010,0.065,0.000,0.065,1.60
1981,1,10,0.000,0.640,51.935,0.000,-8.400,0.000,0.000,0.011,0.000,0.000,183.729,22.277,0.001,0.010,0.063,0.000,0.063,1.41
1981,1,11,0.000,0.220,52.155,0.000,-5.700,0.000,0.000,0.011,0.000,0.000,183.718,22.148,0.001,0.010,0.062,0.000,0.062,1.22
1981,1,12,0.000,0.190,52.285,0.000,-7.800,0.000,0.000,0.011,0.000,0.000,183.707,22.023,0.001,0.010,0.060,0.000,0.060,1.12
1981,1,13,0.000,8.050,60.335,0.000,-5.600,0.000,0.000,0.011,0.000,0.000,183.695,21.900,0.001,0.010,0.058,0.000,0.058,1.11
1981,1,14,0.000,0.690,60.875,0.000,-6.200,0.000,0.000,0.011,0.000,0.000,183.684,21.780,0.001,0.010,0.057,0.000,0.057,1.00
1981,1,15,22.520,0.000,60.855,0.000,-2.700,22.520,15.734,6.803,0.000,0.000,199.401,25.826,0.237,4.251,0.134,0.165,0.299,1.80
1981,1,16,0.000,6.160,66.805,0.000,-5.100,0.000,0.000,0.017,0.000,0.000,199.384,27.401,0.432,1.886,0.180,0.302,0.482,1.62
1981,1,17,11.220,0.000,65.963,0.772,-1.900,11.992,8.202,3.811,0.000,0.000,207.565,29.368,0.146,2.384,0.256,0.000,0.256,1.39
1981,1,18,10.810,0.000,65.963,0.000,-2.200,10.810,7.271,3.564,0.000,0.000,214.811,32.040,0.365,3.276,0.400,0.161,0.561,1.67
1981,1,19,12.940,0.000,65.175,0.727,-1.300,13.667,9.013,4.685,0.000,0.000,223.794,35.036,0.396,3.907,0.634,0.119,0.753,1.86
1981,1,20,15.810,0.000,65.055,0.000,-2.100,15.810,10.188,5.660,0.000,0.000,233.944,38.451,0.500,4.825,1.031,0.121,1.152,2.85
1981,1,21,0.000,3.280,68.005,0.000,-4.700,0.000,0.000,0.038,0.000,0.000,233.906,38.476,0.369,1.584,1.034,0.000,1.034,2.11
1981,1,22,0.000,0.000,67.895,0.000,-8.300,0.000,0.000,0.038,0.000,0.000,233.868,37.127,0.015,0.034,0.858,0.000,0.858,1.67
1981,1,23,0.000,0.000,67.815,0.000,-11.000,0.000,0.000,0.038,0.000,0.000,233.830,35.970,0.004,0.034,0.727,0.000,0.727,1.45
1981,1,24,0.000,0.000,67.765,0.000,-10.500,0.000,0.000,0.038,0.000,0.000,233.792,34.962,0.004,0.034,0.627,0.000,0.627,1.22
1981,1,25,0.000,0.860,68.555,0.000,-8.900,0.000,0.000,0.038,0.000,0.000,233.754,34.071,0.004,0.034,0.549,0.000,0.549,1.07
1981,1,26,0.000,6.810,75.365,0.000,-3.400,0.000,0.000,0.038,0.000,0.000,233.716,33.276,0.004,0.034,0.486,0.000,0.486,1.11
1981,1,27,0.000,0.000,75.265,0.000,-5.100,0.000,0.000,0.038,0.000,0.000,233.678,32.559,0.004,0.034,0.434,0.000,0.434,1.04
1981,1,28,0.000,0.000,75.155,0.000,-7.500,0.000,0.000,0.038,0.000,0.000,233.641,31.908,0.004,0.034,0.392,0.000,0.392,0.93
1981,1,29,0.000,0.000,75.095,0.000,-9.300,0.000,0.000,0.038,0.000,0.000,233.603,31.314,0.004,0.034,0.356,0.000,0.356,0.95
1981,1,30,0.000,0.000,75.025,0.000,-10.600,0.000,0.000,0.038,0.000,0.000,233.565,30.767,0.004,0.034,0.325,0.000,0.325,0.89
1981,1,31,0.000,0.000,74.955,0.000,-9.200,0.000,0.000,0.038,0.000,0.000,233.527,30.262,0.004,0.034,0.299,0.000,0.299,0.72
1981,2,1,0.000,0.000,74.895,0.000,-6.900,0.000,0.000,0.038,0.000,0.000,233.490,29.793,0.004,0.034,0.276,0.000,0.276,0.65
1981,2,2,0.000,0.000,74.591,0.244,-5.700,0.244,0.156,0.125,0.000,0.000,233.608,29.409,0.007,0.089,0.258,0.000,0.258,0.69
1981,2,3,0.000,3.360,77.267,0.634,-3.900,0.634,0.406,0.266,0.000,0.000,233.976,29.157,0.017,0.201,0.247,0.000,0.247,0.75
1981,2,4,25.350,0.000,75.725,1.542,-0.400,26.892,16.709,10.238,0.000,0.000,250.631,34.810,0.372,6.465,0.613,0.173,0.786,1.59
1981,2,5,13.340,0.000,75.575,0.000,-2.800,13.340,8.083,5.320,0.000,0.000,258.651,39.409,0.834,6.144,1.174,0.464,1.638,1.42
1981,2,6,11.510,0.000,75.066,0.459,-1.500,11.969,7.119,4.923,0.000,0.000,265.697,41.773,0.528,4.540,1.604,0.000,1.604,1.27
1981,2,7,7.680,0.000,72.191,2.875,1.500,10.555,6.175,4.461,0.000,0.000,271.792,43.271,0.477,4.142,1.942,0.000,1.942,4.66
1981,2,8,0.230,0.000,66.640,5.501,3.100,5.731,3.317,2.499,0.000,0.000,275.023,43.315,0.379,2.790,1.953,0.000,1.953,7.64
1981,2,9,0.000,0.000,61.420,5.060,1.400,5.060,2.906,2.244,0.000,0.000,277.840,42.783,0.245,2.090,1.826,0.000,1.826,5.80
1981,2,10,6.310,0.000,59.239,2.131,-0.200,8.441,4.794,3.745,0.000,0.000,282.536,43.081,0.277,2.956,1.896,0.000,1.896,4.22
1981,2,11,3.170,0.000,58.889,0.000,-2.300,3.170,1.788,1.483,0.000,0.000,284.223,42.498,0.293,1.958,1.760,0.000,1.760,3.26
1981,2,12,0.000,1.120,59.639,0.000,-4.600,0.000,0.000,0.101,0.000,0.000,284.122,40.810,0.105,0.472,1.415,0.000,1.415,2.65
1981,2,13,0.000,0.000,59.319,0.000,-6.900,0.000,0.000,0.101,0.000,0.000,284.022,39.124,0.013,0.091,1.130,0.000,1.130,2.07
1981,2,14,0.000,0.000,59.119,0.000,-8.600,0.000,0.000,0.100,0.000,0.000,283.921,37.725,0.010,0.090,0.932,0.000,0.932,1.66
1981,2,15,0.000,0.000,58.909,0.000,-7.900,0.000,0.000,0.100,0.000,0.000,283.821,36.536,0.010,0.090,0.789,0.000,0.789,1.37
1981,2,16,0.000,0.000,58.739,0.000,-7.300,0.000,0.000,0.100,0.000,0.000,283.721,35.507,0.010,0.090,0.680,0.000,0.680,1.31
1981,2,17,0.000,0.230,58.899,0.000,-6.900,0.000,0.000,0.100,0.000,0.000,283.621,34.606,0.010,0.090,0.595,0.000,0.595,1.26
1981,2,18,0.000,0.730,59.489,0.000,-5.400,0.000,0.000,0.100,0.000,0.000,283.522,33.806,0.010,0.090,0.527,0.000,0.527,1.20
1981,2,19,0.000,0.600,59.929,0.000,-5.500,0.000,0.000,0.099,0.000,0.000,283.422,33.089,0.010,0.090,0.472,0.000,0.472,1.09
1981,2,20,0.000,0.300,60.049,0.000,-5.100,0.000,0.000,0.099,0.000,0.000,283.323,32.442,0.010,0.089,0.426,0.000,0.426,0.99
1981,2,21,0.000,1.980,61.839,0.000,-4.700,0.000,0.000,0.099,0.000,0.000,283.224,31.853,0.010,0.089,0.388,0.000,0.388,0.82
1981,2,22,0.000,0.150,61.769,0.000,-4.700,0.000,0.000,0.099,0.000,0.000,283.125,31.315,0.010,0.089,0.356,0.000,0.356,0.70
1981,2,23,0.000,0.050,61.629,0.000,-5.800,0.000,0.000,0.099,0.000,0.000,283.026,30.820,0.010,0.089,0.328,0.000,0.328,0.72
1981,2,24,0.000,0.000,61.439,0.000,-4.900,0.000,0.000,0.099,0.000,0.000,282.928,30.363,0.010,0.089,0.304,0.000,0.304,0.71
1981,2,25,0.000,0.020,61.329,0.000,-4.700,0.000,0.000,0.098,0.000,0.000,282.829,29.940,0.010,0.089,0.283,0.000,0.283,0.67
1981,2,26,0.040,0.000,60.669,0.490,-2.600,0.530,0.300,0.329,0.000,0.000,283.030,29.683,0.018,0.233,0.271,0.000,0.271,0.70
1981,2,27,0.000,0.000,59.723,0.616,-4.000,0.616,0.348,0.367,0.000,0.000,283.279,29.528,0.034,0.320,0.264,0.000,0.264,0.72
1981,2,28,0.410,0.000,57.390,2.003,-2.100,2.413,1.359,1.155,0.000,0.000,284.537,29.863,0.064,0.822,0.279,0.000,0.279,0.62
1981,3,1,1.970,0.000,53.279,3.931,0.800,5.901,3.301,2.708,0.000,0.000,287.730,31.300,0.168,2.009,0.355,0.000,0.355,1.15
1981,3,2,0.300,0.000,49.381,3.628,0.300,3.928,2.183,1.857,0.000,0.000,289.802,32.519,0.238,1.906,0.432,0.000,0.432,1.57
1981,3,3,9.240,0.000,46.550,2.700,0.600,11.940,6.540,5.524,0.000,0.000,296.218,35.508,0.315,3.961,0.680,0.023,0.702,2.49
1981,3,4,10.670,0.000,44.747,1.693,0.000,12.363,6.650,5.852,0.000,0.000,302.729,39.153,0.557,5.176,1.134,0.160,1.294,5.24
1981,3,5,0.030,0.000,41.699,2.688,0.700,2.718,1.450,1.410,0.000,0.000,304.038,39.843,0.430,2.493,1.245,0.000,1.245,3.17
1981,3,6,1.370,0.000,36.085,5.294,1.800,6.664,3.526,3.287,0.000,0.000,307.415,40.356,0.215,2.441,1.333,0.000,1.333,2.34
1981,3,7,1.230,0.000,28.384,7.291,4.000,8.521,4.457,4.224,0.000,0.000,311.712,41.691,0.358,3.543,1.587,0.000,1.587,3.21
1981,3,8,4.010,0.000,22.024,6.250,3.900,10.260,5.290,5.144,0.000,0.000,316.828,43.398,0.453,4.376,1.974,0.000,1.974,3.56
1981,3,9,0.740,0.000,13.597,8.207,5.300,8.947,4.550,4.583,0.000,0.000,321.192,44.586,0.493,4.279,2.290,0.000,2.290,5.25
1981,3,10,4.400,0.000,9.195,4.402,3.700,8.802,4.418,4.582,0.000,0.000,325.411,45.321,0.459,4.124,2.508,0.000,2.508,6.29
1981,3,11,9.030,0.000,1.083,8.112,6.700,17.142,8.423,8.945,0.000,0.000,333.609,47.831,0.610,6.848,3.405,0.000,3.405,7.54
1981,3,12,23.130,0.000,0.000,4.346,6.100,27.476,13.023,14.724,0.000,0.000,346.361,52.451,1.087,11.659,5.913,0.000,5.913,10.99
1981,3,13,5.260,0.000,0.000,0.000,2.400,5.110,2.379,3.011,0.000,0.000,348.460,51.534,1.055,5.939,5.300,0.000,5.300,10.95
1981,3,14,2.410,0.000,0.000,0.000,2.300,1.990,0.923,1.349,0.000,0.000,349.100,48.189,0.266,1.673,3.555,0.000,3.555,5.41
1981,3,15,4.860,0.000,0.000,0.000,2.000,4.550,2.100,2.740,0.000,0.000,350.911,46.291,0.186,2.082,2.825,0.000,2.825,3.68
1981,3,16,2.800,0.000,0.000,0.000,1.700,2.430,1.117,1.606,0.000,0.000,351.735,44.717,0.232,1.758,2.328,0.000,2.328,3.42
1981,3,17,7.810,0.000,0.000,0.000,-0.100,7.590,3.462,4.434,0.000,0.000,354.891,44.712,0.261,3.211,2.326,0.000,2.326,2.95
1981,3,18,8.110,0.000,0.000,0.000,-1.400,7.600,3.430,4.490,0.000,0.000,358.001,45.335,0.440,4.026,2.513,0.000,2.513,3.19
1981,3,19,0.030,0.000,0.000,0.000,-1.400,0.000,0.000,0.316,0.940,0.749,356.936,43.768,0.304,1.435,2.068,0.000,2.068,3.13
1981,3,20,0.000,0.000,0.000,0.000,1.600,0.000,0.000,0.311,0.910,0.724,355.901,41.646,0.039,0.281,1.578,0.000,1.578,2.67
1981,3,21,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.307,0.710,0.564,355.030,39.965,0.031,0.277,1.265,0.000,1.265,2.36
1981,3,22,0.030,0.000,0.000,0.000,3.500,0.000,0.000,0.303,0.860,0.682,354.045,38.588,0.031,0.274,1.050,0.000,1.050,2.34
1981,3,23,3.480,0.000,0.000,0.000,5.000,2.990,1.360,1.938,0.000,0.000,355.098,38.335,0.087,1.293,1.015,0.000,1.015,2.21
1981,3,24,5.130,0.000,0.000,0.000,6.800,4.780,2.162,2.933,0.000,0.000,356.944,39.061,0.225,2.366,1.120,0.000,1.120,3.32
1981,3,25,4.090,0.000,0.000,0.000,7.500,3.940,1.772,2.490,0.000,0.000,358.395,39.656,0.276,2.363,1.214,0.000,1.214,5.95
